Rank,Name,Market Cap,Price,Today,Price (30 days),Country,ticker,right_ticker
4,Ambev  ABEV,$43.71 B,$2.83,-3.08%,,🇧🇷 Brazil,ABEV,False
5,Banco Bradesco  BBD,$39.08 B,$4.76,-1.65%,,🇧🇷 Brazil,BBD,False
6,WEG ON  WEGE3.SA,$33.48 B,$16.14,0.00%,,🇧🇷 Brazil,WEGE3.SA,False
7,Banco Santander Brasil  BSBR,$27.73 B,$7.52,-2.84%,,🇧🇷 Brazil,BSBR,False
8,StoneCo  STNE,$27.29 B,$88.58,3.35%,,🇧🇷 Brazil,STNE,False
9,XP Inc.  XP,$26.88 B,$48.73,0.37%,,🇧🇷 Brazil,XP,False
10,B3  B3SA3.SA,$23.90 B,$11.80,0.00%,,🇧🇷 Brazil,B3SA3.SA,False
1,Enel  ENLAY,$104.08 B,$10.19,0.59%,,🇮🇹 Italy,ENLAY,False
2,Ferrari  RACE,$51.41 B,$208.68,2.96%,,🇮🇹 Italy,RACE,False
3,Intesa Sanpaolo  ISNPY,$48.86 B,$15.27,2.14%,,🇮🇹 Italy,ISNPY,False
4,ENI  E,$37.06 B,$21.20,2.46%,,🇮🇹 Italy,E,False
7,Snam  SNMRF,$17.68 B,$5.38,0.00%,,🇮🇹 Italy,SNMRF,False
8,Prada  PRDSF,$16.04 B,$5.98,0.00%,,🇮🇹 Italy,PRDSF,False
1,Shopify  SHOP,$164.13 B,"$1,345",4.45%,,🇨🇦 Canada,SHOP,False
2,Royal Bank Of Canada  RY,$119.47 B,$84.09,0.68%,,🇨🇦 Canada,RY,False
3,Toronto Dominion Bank  TD,$106.89 B,$58.97,0.91%,,🇨🇦 Canada,TD,False
4,Canadian National Railway  CNI,$75.18 B,$106.37,0.25%,,🇨🇦 Canada,CNI,False
5,Enbridge  ENB,$72.38 B,$35.81,1.82%,,🇨🇦 Canada,ENB,False
6,Scotiabank  BNS,$67.21 B,$55.59,1.35%,,🇨🇦 Canada,BNS,False
7,Brookfield Asset Management  BAM,$62.11 B,$41.22,0.76%,,🇨🇦 Canada,BAM,False
8,Bank of Montreal  BMO,$49.53 B,$76.79,0.20%,,🇨🇦 Canada,BMO,False
9,Canadian Pacific Railway  CP,$47.14 B,$355.43,-0.18%,,🇨🇦 Canada,CP,False
10,lululemon athletica  LULU,$44.27 B,$339.71,1.69%,,🇨🇦 Canada,LULU,False
5,ICBC  1398.HK,$266.72 B,$0.62,-0.82%,,🇨🇳 China,601398.SHH,True
8,CM Bank  3968.HK,$213.91 B,$8.23,0.71%,,🇨🇳 China,600036.SHH,True
8,Chugai Pharmaceutical  4519.T,$83.46 B,$50.81,-1.42%,,🇯🇵 Japan,CHGCY,True
1,Reliance Industries  RELIANCE.NS,$181.45 B,$26.83,0.24%,,🇮🇳 India,RELIANCE.BSE,True
2,Tata  TCS.NS,$161.20 B,$43.58,-1.16%,,🇮🇳 India,TATASTEEL.BSE,True
5,Hindustan Unilever  HINDUNILVR.NS,$71.45 B,$30.40,-0.91%,,🇮🇳 India,500696.BSE,True
6,Housing Development Finance Corporation  HDFC.NS,$67.83 B,$37.68,0.50%,,🇮🇳 India,HDFC.BSE,True
8,Kotak Mahindra Bank  KOTAKBANK.NS,$52.96 B,$26.74,-0.41%,,🇮🇳 India,500247.BSE,True
9,State Bank of India  SBIN.NS,$48.33 B,$5.42,-0.57%,,🇮🇳 India,SBIN.BSE,True
10,Bharti Airtel  BHARTIARTL.NS,$44.82 B,$8.22,0.28%,,🇮🇳 India,532454.BSE,True
5,Generali  G.MI,$29.79 B,$18.98,0.10%,,🇮🇹 Italy,ARZGY,True
6,UniCredit  UCG.MI,$23.43 B,$10.47,-0.01%,,🇮🇹 Italy,UNCRY,True
9,Moncler  MONC.MI,$15.82 B,$62.61,0.62%,,🇮🇹 Italy,MONRY,True
10,Atlantia  ATL.MI,$15.77 B,$19.28,-0.78%,,🇮🇹 Italy,ATASY,True
